width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0.2,1,36.15,0.949851,37.7077,42.4587,44.3638
100,0.2,2,33.43,0.935793,33.4745,39.5608,41.9275
100,0.2,3,35.46,0.834882,37.7627,41.584,43.549
100,0.2,4,39.67,0.926834,40.4104,46.2235,48.5205
100,0.2,5,38.7,0.881901,40.3457,45.415,48.1071
100,0.2,6,37.46,0.877603,37.7495,43.1375,45.87
100,0.2,7,36.73,0.99838,38.0368,42.483,45.4226
100,0.2,8,38.69,0.85421,38.497,44.89,47.299
100,0.2,9,42.04,0.961703,42.1414,48.4563,50.4817
100,0.2,10,38.25,0.954189,38.9422,44.882,47.557
100,0.2,11,40.19,0.869737,40.2992,46.2248,48.4918
100,0.2,12,38.32,0.960173,39.9172,44.5762,47.2487
100,0.2,13,36.96,0.945143,37.5053,42.7853,46.388
100,0.2,14,37.96,0.959537,37.3556,44.4029,46.794
100,0.2,15,36.36,0.917409,36.3343,43.8817,46.0701
100,0.2,16,38.64,0.987758,40.334,44.7857,48.0756
100,0.2,17,35.77,1.00079,35.5446,42.2828,45.0787
100,0.2,18,36.84,0.984163,37.4211,43.2206,45.9018
100,0.2,19,34.66,0.940807,35.0549,40.8938,43.3894
100,0.21,0,34.31,0.851884,34.716,40.5165,42.3891
100,0.21,1,36.84,0.933935,36.8573,43.301,46.2781
100,0.21,2,38.12,1.04739,36.9346,44.63,47.4563
100,0.21,3,36.48,0.987324,37.3343,42.1909,45.4277
100,0.21,4,37.54,0.823426,39.8753,42.9602,46.459
100,0.21,5,38.59,0.965056,39.3186,45.0189,46.9806
100,0.21,6,39.85,1.12183,39.9697,46.413,48.0002
100,0.21,7,38.5,0.86715,38.4081,44.3482,46.6889
100,0.21,8,38.55,0.954095,39.6799,44.3954,46.6733
100,0.21,9,38.11,0.875431,38.2981,44.443,47.0036
100,0.21,10,41.11,0.941845,40.9124,47.3565,49.6721
100,0.21,11,38.39,0.899938,38.3568,44.1023,47.6482
100,0.21,12,38.27,0.922512,38.2756,44.8837,47.115
100,0.21,13,37.45,0.884264,37.838,42.9744,45.646
100,0.21,14,36.83,0.926243,37.473,43.1115,45.0407
100,0.21,15,36.84,0.974339,38.8477,42.8955,44.3101
100,0.21,16,36.48,0.836737,37.8796,42.7914,45.4383
