width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0.5,4,39.61,0.750249,40.813,43.2223,44.2275,45.1582
100,0.5,5,41.13,0.664338,40.7791,44.8069,46.0894,47.3185
100,0.5,6,39.51,0.705028,39.8973,42.6426,44.2439,45.3129
100,0.5,7,40.18,0.72237,39.865,43.5657,44.8164,45.5231
100,0.5,8,40.08,0.702369,41.6125,43.4413,44.9544,45.9052
100,0.5,9,41.74,0.771065,42.0041,44.935,46.1662,47.0356
100,0.5,10,41.19,0.868098,40.8963,44.7333,45.7457,47.0987
100,0.5,11,39.71,0.71449,39.0873,43.5777,44.6422,45.4395
100,0.5,12,39.26,0.682291,39.7422,42.8803,44.6732,45.2606
100,0.5,13,40.21,0.791068,39.2021,44.2188,45.3032,46.0523
100,0.5,14,39.41,0.782663,40.2651,42.8043,43.6334,44.5436
100,0.5,15,39.1,0.755606,40.5748,42.9637,43.7176,44.66
100,0.5,16,39.35,0.751979,39.9792,43.49,44.8005,45.4061
100,0.5,17,38.94,0.734732,39.8123,42.2756,43.4946,44.5918
100,0.5,18,38.04,0.707834,38.5466,41.1252,42.9332,43.7459
100,0.5,19,38.67,0.740086,38.2703,42.0713,43.9193,44.6023
100,0.5,20,40.58,0.737803,41.7216,43.8191,45.0368,45.9652
100,0.5,21,38.08,0.762445,38.6831,41.3939,41.9008,43.2576
100,0.5,22,39.33,0.692482,39.6694,42.2837,43.731,45.0414
100,0.5,23,38.77,0.785509,39.4025,41.9363,43.3679,44.7854
100,0.5,24,40.91,0.803582,40.7062,44.8826,46.276,46.9599
100,0.5,25,40,0.70997,41.5493,43.2843,45.2221,45.971
100,0.5,26,38.76,0.76746,39.3711,42.0533,43.4093,44.7356
100,0.5,27,38.48,0.755998,39.2024,41.6948,43.4819,44.383
100,0.5,28,39.09,0.716281,38.8649,41.5449,43.9031,44.8577
100,0.5,29,37.39,0.779046,38.2479,41.0009,42.1924,43.2061
100,0.5,30,40.99,0.69241,42.0619,44.0909,45.0772,46.1042
100,0.5,31,40.32,0.712248,40.7979,43.118,44.5861,45.7677
100,0.5,32,40.11,0.819958,41.9829,44.0783,45.1325,46.3906
100,0.5,33,40.01,0.73185,41.0287,43.425,45.1079,45.8863
100,0.5,34,40.45,0.745317,41.7234,44.2408,45.1259,46.1492
100,0.5,35,40.5,0.728372,40.6675,44.2019,45.2273,46.5094
100,0.5,36,39.59,0.734224,40.9711,42.8928,43.889,44.9345
100,0.5,37,40.15,0.740199,40.824,43.6703,44.6838,45.6418
100,0.5,38,39.7,0.721793,39.957,42.8338,44.1566,45.2671
100,0.5,39,41.53,0.661265,41.9189,44.6891,45.9999,47.2316
100,0.5,40,39.75,0.79117,40.2882,43.2389,44.5963,45.5985
100,0.5,41,41.44,0.762111,40.9125,45.4731,46.3254,47.5342
100,0.5,42,39.99,0.744461,40.0897,43.4556,44.1755,45.6537
100,0.5,43,39.86,0.744031,39.4206,43.4144,44.7237,45.8176
100,0.5,44,38.95,0.8044,40.1952,42.7021,44.3734,45.2121
100,0.5,45,40.51,0.718406,41.0806,43.2174,44.7097,45.8593
100,0.5,46,40.97,0.754162,41.4495,44.8802,45.9888,46.8796
100,0.5,47,39.39,0.766279,39.4853,43.6823,44.4864,45.3737
100,0.5,48,39.99,0.783495,41.1478,42.5111,45.1622,45.7681
100,0.5,49,40.27,0.744901,40.4152,44.2092,45.597,46.5959
100,0.6,0,40.19,0.757536,41.5154,43.2074,44.149,45.5898
100,0.6,1,41.16,0.69219,42.2681,44.1652,44.8508,45.88
100,0.6,2,41.6,0.781339,41.8288,44.7421,45.7157,46.8126
100,0.6,3,40.77,0.708193,41.0499,42.8005,43.8654,45.0882
100,0.6,4,40.57,0.668661,41.6284,42.8836,44.3382,45.8708
100,0.6,5,40.86,0.711606,41.7494,43.3365,44.8606,46.0544
100,0.6,6,41.83,0.743263,42.3638,44.6559,45.6732,47.143
100,0.6,7,40.18,0.738064,40.3124,42.7212,44.4138,45.5469
100,0.6,8,39.58,0.734677,39.7562,42.0492,43.61,44.9641
100,0.6,9,40.48,0.728417,41.4416,43.6447,44.2902,45.2675
100,0.6,10,40.86,0.6947,41.5852,44.0695,44.3937,45.2768
100,0.6,11,40.34,0.714076,40.2339,43.4938,44.3877,45.444
100,0.6,12,40.04,0.675297,40.7735,42.683,43.7278,44.8134
100,0.6,13,40.55,0.693762,41.3772,42.6422,44.6566,45.7534
100,0.6,14,40.32,0.744895,40.25,42.4353,43.5882,45.0504
100,0.6,15,39.95,0.72835,41.8017,42.2203,44.2247,45.0066
100,0.6,16,40.31,0.699121,41.858,43.1906,44.2112,45.3236
100,0.6,17,41.67,0.704561,43.3362,44.6639,45.3032,46.79
100,0.6,18,40.99,0.679738,41.1178,43.9842,44.8478,46.0579
100,0.6,19,39.5,0.754437,40.6188,42.5722,42.8666,44.14
100,0.6,20,40.63,0.774937,41.9132,44.3284,44.6008,45.8112
100,0.6,21,39.88,0.724985,40.9293,42.4534,43.5332,44.8311
100,0.6,22,41.07,0.703572,40.9169,43.5507,44.6033,45.9638
100,0.6,23,42.12,0.68371,42.6466,44.4516,45.6788,46.9881
100,0.6,24,39.73,0.791928,40.0359,42.7466,43.6955,44.9126
100,0.6,25,41.46,0.705637,42.7121,43.9612,45.1035,46.3514
100,0.6,26,40.98,0.663024,41.6025,43.0619,44.7241,45.9753
100,0.6,27,40.4,0.745978,41.2132,42.5228,43.9293,45.216
100,0.6,28,39.63,0.665517,40.5105,42.5771,43.4951,44.6939
100,0.6,29,40.62,0.684132,41.5062,42.856,44.6732,45.5465
100,0.6,30,40.52,0.707177,40.8941,42.6089,44.363,45.2607
100,0.6,31,38.93,0.736276,39.0292,42.8124,43.3115,44.2833
100,0.6,32,41.04,0.716429,41.9141,43.6489,44.7495,45.933
100,0.6,33,40.07,0.659319,39.8217,43.0145,42.7718,44.6696
100,0.6,34,41.94,0.685429,42.0027,44.3781,44.8129,46.3968
100,0.6,35,39.95,0.752225,40.1951,42.9255,43.8768,45.2736
100,0.6,36,41.2,0.683576,40.6876,44.0576,45.0092,45.8971
