width,noise,instance_number, greedy_mean,greedy_stdev,pagerank_value,regret_value,global_greedy,optimal_value
100,0.07,6,43.3,0.620364,43.0106,44.3053,44.5099,45.1672
100,0.07,7,42.98,0.587479,42.3389,43.9034,44.2813,45.1009
100,0.07,8,42.56,0.525651,42.3711,43.7211,43.6203,44.5139
100,0.07,9,42.18,0.66358,39.7598,43.4735,43.4414,44.6601
100,0.07,10,41.42,0.542386,40.1132,42.3148,42.4326,43.7692
100,0.07,11,41.32,0.628129,41.874,42.7603,42.7118,43.81
100,0.07,12,41.9,0.39652,40.9942,42.6191,42.9061,44.01
100,0.07,13,43.58,0.471711,42.6304,44.6507,44.3893,45.3508
100,0.07,14,41.1,0.649102,40.1897,42.0909,42.1135,43.6932
100,0.07,15,42.82,0.403811,42.1394,43.6197,43.915,44.8111
100,0.07,16,43,0.515154,42.3419,43.796,43.936,44.7023
100,0.07,17,43.16,0.674263,43.0906,44.4713,44.4569,45.1319
100,0.07,18,43.04,0.689772,42.922,44.4209,44.0129,44.9784
100,0.07,19,42.58,0.480713,41.4514,43.6454,43.7862,44.5776
100,0.07,20,42.24,0.62641,41.8877,43.0007,43.1619,44.3826
100,0.07,21,42.98,0.570305,41.2102,43.4444,44.0342,44.9355
100,0.07,22,42.96,0.49733,41.9921,43.8151,43.9648,44.9579
100,0.07,23,42.14,0.64525,41.0746,43.271,43.393,44.566
100,0.07,24,43.02,0.668751,42.3194,44.316,44.3195,45.1446
100,0.07,25,42.62,0.428705,42.3732,43.6061,43.5269,44.6635
100,0.07,26,42.94,0.521608,41.6084,43.447,44.0495,44.9618
100,0.07,27,42.96,0.631474,41.6236,43.9072,44.3313,45.1365
100,0.07,28,42,0.580044,40.6635,42.7691,43.2803,44.5011
100,0.07,29,41.36,0.560582,40.429,42.2733,42.2556,43.8603
100,0.07,30,42.9,0.45833,41.791,43.7012,43.9434,44.9249
