source,target,value,greedy_pairing,pagerank_pairing,regret_pairing
40,147,0.08,0,0,0
41,133,0.133333333,0,0,0
42,105,0.166666667,0,1,0
42,119,0.1,1,0,1
42,122,0.285714286,0,0,0
42,135,0.2,0,0,0
42,138,0.233333333,0,0,0
42,145,0.685714286,0,0,0
42,150,1.0,0,0,0
43,128,0.25,0,0,0
43,144,0.333333333,0,0,0
43,147,0.08,0,0,0
44,108,0.714285714,0,1,1
44,135,0.24,0,0,0
44,137,0.1,0,0,0
44,144,0.1,0,0,0
44,150,0.333333333,0,0,0
45,147,0.08,0,0,0
46,132,0.2,1,1,1
47,101,0.133333333,0,0,0
48,144,2.157142857,0,1,1
49,109,0.106666667,0,0,0
49,113,0.125,0,0,0
49,114,1.130952381,0,0,0
49,117,0.04,0,0,0
49,122,2.822222222,1,1,0
49,126,1.885714286,0,0,0
49,135,0.4,0,0,0
49,137,0.057142857,0,0,0
49,144,0.433333333,0,0,0
49,148,0.63,0,0,1
49,150,1.333333333,0,0,0
50,101,0.166666667,0,0,0
50,116,0.285714286,0,0,0
51,117,0.133333333,0,0,0
51,122,0.666666667,0,0,0
51,133,0.081081081,0,0,0
51,144,0.242857143,0,0,0
51,150,1.4,0,0,0
51,156,0.25,0,1,0
52,147,0.025,0,0,0
53,101,2.472161172,0,1,1
53,114,0.152631579,0,0,0
53,117,0.086956522,0,0,0
53,119,0.016666667,0,0,0
53,122,1.066666667,0,0,0
53,133,0.727027027,0,0,0
53,138,0.166666667,0,0,0
53,144,0.428571429,0,0,0
53,147,0.410909091,0,0,0
53,156,0.523636364,0,0,0
54,101,0.583333333,0,0,0
54,122,0.266666667,0,0,0
54,127,0.057142857,0,0,1
